year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral,,,,,,,,,,,,
2018,January 2,Gulf Cup,Iraq,United Arab Emirates,1570,1560,0,0,in Kuwait,Yes,,,,,,,,,,,,Yes
2018,January 2,Gulf Cup,Oman,Bahrain,1511,1418,1,0,in Kuwait,Yes,,,,,,,,,,,,Yes
2018,January 5,Gulf Cup,United Arab Emirates,Oman,1561,1526,0,0,in Kuwait,Yes,,,,,,,,,,,,Yes
2018,January 7,Friendly,Sweden,Estonia,1825,1508,1,1,in the United Arab Emirates,Yes,,,,,,,,,,,,Yes
2018,January 11,Friendly,Finland,Jordan,1595,1480,2,1,in the United Arab Emirates,Yes,,,,,,,,,,,,Yes
2018,January 14,Friendly,Indonesia,Iceland,1234,1812,1,4,in Indonesia,No,,,,,,,,,,,,No
2018,January 27,Friendly,South Korea,Moldova,1760,1331,1,0,in Turkey,Yes,,,,,,,,,,,,Yes
2018,January 28,Friendly,United States,Bosnia and Herzegovina,1751,1723,0,0,in the United States,No,,,,,,,,,,,,No
2018,January 30,Friendly,Azerbaijan,Moldova,1400,1329,0,0,in Turkey,Yes,,,,,,,,,,,,Yes
2018,January 30,Friendly,South Korea,Jamaica,1762,1565,2,2,in Turkey,Yes,,,,,,,,,,,,Yes
2018,January 31,Friendly,Mexico,Bosnia and Herzegovina,1848,1727,1,0,in the United States,Yes,,,,,,,,,,,,Yes
2018,February 3,Friendly,South Korea,Latvia,1757,1362,1,0,in Turkey,Yes,,,,,,,,,,,,Yes
2018,February 26,Friendly,Saudi Arabia,Moldova,1567,1331,3,0,in Saudi Arabia,No,,,,,,,,,,,,No
2018,February 28,Friendly,Iraq,Saudi Arabia,1569,1571,4,1,in Iraq,No,,,,,,,,,,,,No
2018,March 17,Friendly,Iran,Sierra Leone,1800,1380,4,0,in Iran,No,,,,,,,,,,,,No
2018,March 20,Friendly,Tahiti,New Caledonia,1218,1209,0,0,in Tahiti,No,,,,,,,,,,,,No
2018,March 21,Friendly,Liechtenstein,Andorra,1168,1012,0,1,in Spain,Yes,,,,,,,,,,,,Yes
2018,March 21,Friendly tournament,South Africa,Angola,1545,1241,1,1,in Zambia,Yes,,,,,,,,,,,,Yes
2018,March 21,Friendly,Antigua and Barbuda,Bermuda,1203,1198,3,2,in Antigua and Barbuda,No,,,,,,,,,,,,No
2018,March 21,Friendly tournament,Iraq,Qatar,1582,1464,2,3,in Iraq,No,,,,,,,,,,,,No
2018,March 21,Friendly,Jordan,Kuwait,1473,1421,1,0,in Jordan,No,,,,,,,,,,,,No
2018,March 21,Friendly,Laos,Cambodia,783,811,0,1,in Laos,No,,,,,,,,,,,,No
2018,March 21,Friendly,Togo,Madagascar,1383,1368,0,0,in France,Yes,,,,,,,,,,,,Yes
2018,March 21,Friendly tournament,Zambia,Zimbabwe,1501,1472,2,2,in Zambia,No,,,,,,,,,,,,No
2018,March 22,Friendly,Algeria,Tanzania,1538,1300,4,1,in Algeria,No,,,,,,,,,,,,No
2018,March 22,Friendly,Bahrain,Palestine,1403,1401,0,0,in Bahrain,No,,,,,,,,,,,,No
2018,March 22,Friendly,Belize,Grenada,1160,1110,4,2,in Belize,No,,,,,,,,,,,,No
2018,March 22,Friendly,Burkina Faso,Guinea-Bissau,1607,1292,2,0,in France,Yes,,,,,,,,,,,,Yes
2018,March 22,Friendly tournament,China,Wales,1565,1763,0,6,in China,No,,,,,,,,,,,,No
2018,March 22,Friendly,Denmark,Panama,1842,1671,1,0,in Denmark,No,,,,,,,,,,,,No
2018,March 22,Friendly,Dominican Republic,Turks and Caicos Islands,1249,763,4,0,in the Dominican Republic,No,,,,,,,,,,,,No
2018,March 22,Friendly,Latvia,Faroe Islands,1360,1280,1,1,in Spain,Yes,,,,,,,,,,,,Yes
2018,March 22,Asian Cup qualifier,Kyrgyzstan,Myanmar,1207,1093,5,1,in South Korea,Yes,,,,,,,,,,,,Yes
2018,March 22,Friendly,Macao,Mauritius,679,1068,0,1,in Macao,No,,,,,,,,,,,,No
2018,March 22,Friendly,Malaysia,Mongolia,1062,653,2,2,in Malaysia,No,,,,,,,,,,,,No
2018,March 22,Friendly,Malta,Luxembourg,1216,1321,0,1,in Malta,No,,,,,,,,,,,,No
2018,March 22,Friendly,Nicaragua,Cuba,1267,1308,3,1,in Nicaragua,No,,,,,,,,,,,,No
2018,March 22,Friendly,Philippines,Fiji,1159,1255,3,2,in the Philippines,No,,,,,,,,,,,,No
2018,March 22,King's Cup,Slovakia,United Arab Emirates,1748,1559,2,1,in Thailand,Yes,,,,,,,,,,,,Yes
2018,March 22,King's Cup,Thailand,Gabon,1406,1415,0,0,in Thailand,No,,,,,,,,,,,,No
2018,March 23,Friendly,Argentina,Italy,1984,1906,2,0,in England,Yes,,,,,,,,,,,,Yes
2018,March 23,Friendly,Austria,Slovenia,1709,1639,3,0,in Austria,No,,,,,,,,,,,,No
2018,March 23,Friendly,Azerbaijan,Belarus,1398,1497,0,1,in Azerbaijan,No,,,,,,,,,,,,No
